"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","878.83","888.54","894.52","858.09","1.19B","-0.33%"
"03/01/2024","881.78","852.60","883.73","848.37","1.21B","3.93%"
"02/01/2024","848.44","817.63","861.63","816.83","1.38B","3.69%"
"01/01/2024","818.21","790.69","823.76","766.66","1.22B","3.99%"
"12/01/2023","786.82","767.45","798.09","767.44","1.10B","2.85%"
"11/01/2023","765.04","720.44","768.03","716.49","1.31B","6.46%"
"10/01/2023","718.60","730.65","744.93","711.69","1.15B","-1.40%"
"09/01/2023","728.79","744.54","754.76","715.62","1.19B","-1.99%"
"08/01/2023","743.62","790.17","792.13","729.61","1.28B","-6.11%"
"07/01/2023","792.00","777.10","795.20","747.66","1.10B","2.33%"
"06/01/2023","773.94","754.41","776.29","750.74","1.26B","3.35%"
"05/01/2023","748.86","758.74","771.74","735.91","1.42B","-1.27%"
"04/01/2023","758.49","758.91","769.14","745.26","1.16B","0.31%"
"03/01/2023","756.18","756.20","763.41","710.89","1.98B","0.43%"
"02/01/2023","752.93","747.15","777.58","745.18","1.35B","1.04%"
"01/01/2023","745.19","697.11","755.55","694.63","1.32B","8.15%"
"12/01/2022","689.01","731.73","741.09","688.24","1.34B","-4.85%"
"11/01/2022","724.10","675.28","726.46","654.83","1.67B","7.97%"
"10/01/2022","670.62","633.48","673.18","611.74","1.55B","4.68%"
"09/01/2022","640.62","674.96","703.39","627.35","1.69B","-5.83%"
"08/01/2022","680.31","728.68","736.34","680.31","1.55B","-6.74%"
"07/01/2022","729.44","651.22","732.58","643.60","1.61B","10.65%"
"06/01/2022","659.23","714.87","716.13","632.02","1.73B","-7.53%"
"05/01/2022","712.88","702.52","719.00","662.22","1.77B","0.27%"
"04/01/2022","710.98","725.99","743.05","687.74","1.54B","-1.83%"
"03/01/2022","724.20","728.52","739.27","652.80","2.65B","-0.76%"
"02/01/2022","729.72","761.91","772.23","699.99","1.97B","-3.37%"
"01/01/2022","755.20","802.50","812.55","734.42","1.76B","-5.36%"
"12/01/2021","797.93","783.84","809.16","755.57","1.50B","2.64%"
"11/01/2021","777.39","815.25","829.66","774.31","1.80B","-4.13%"
"10/01/2021","810.91","761.82","818.31","751.06","1.61B","5.05%"
"09/01/2021","771.94","793.39","804.47","771.79","1.71B","-1.99%"
"08/01/2021","787.62","760.48","792.54","754.46","1.50B","4.42%"
"07/01/2021","754.31","734.71","759.35","716.23","1.48B","3.40%"
"06/01/2021","729.52","712.81","736.33","712.42","1.59B","2.84%"
"05/01/2021","709.36","709.93","719.29","677.88","1.64B","0.25%"
"04/01/2021","707.56","707.05","719.26","699.06","1.58B","1.10%"
"03/01/2021","699.85","662.02","704.25","649.97","2.49B","7.46%"
"02/01/2021","651.26","642.66","689.24","642.22","2.12B","2.22%"
"01/01/2021","637.11","632.02","667.85","628.98","1.89B","2.00%"
"12/01/2020","624.61","609.00","633.12","602.64","1.95B","3.07%"
"11/01/2020","606.02","535.41","615.11","533.39","2.84B","13.51%"
"10/01/2020","533.88","551.17","575.52","527.86","2.26B","-2.52%"
"09/01/2020","547.70","552.78","568.08","533.22","2.04B","-0.27%"
"08/01/2020","549.20","546.52","575.71","544.96","1.70B","0.72%"
"07/01/2020","545.29","561.01","587.03","543.63","1.98B","-2.58%"
"06/01/2020","559.73","540.47","576.45","529.78","3.03B","5.10%"
"05/01/2020","532.57","496.54","539.62","490.79","2.57B","3.83%"
"04/01/2020","512.92","468.99","528.69","465.29","2.83B","6.10%"
"03/01/2020","483.44","550.95","562.26","389.60","4.97B","-10.37%"
"02/01/2020","539.38","591.43","632.12","531.18","2.04B","-8.50%"
"01/01/2020","589.50","608.01","616.46","589.44","1.49B","-2.49%"
"12/01/2019","604.58","598.17","612.49","581.02","1.25B","1.22%"
"11/01/2019","597.29","578.25","602.37","578.11","1.40B","3.58%"
"10/01/2019","576.63","582.65","585.25","553.85","1.75B","-0.62%"
"09/01/2019","580.23","559.25","580.52","556.48","1.63B","3.92%"
"08/01/2019","558.35","564.98","572.46","528.68","1.92B","-2.40%"
"07/01/2019","572.09","569.22","586.32","564.55","1.54B","1.84%"
"06/01/2019","561.76","535.90","566.67","534.49","1.43B","3.94%"
"05/01/2019","540.49","568.87","571.11","537.48","1.47B","-5.44%"
"04/01/2019","571.60","552.89","571.91","552.01","1.41B","4.12%"
"03/01/2019","548.98","543.06","555.55","529.72","1.81B","1.47%"
"02/01/2019","541.05","521.82","544.88","519.74","1.72B","3.92%"
"01/01/2019","520.63","479.91","521.02","477.05","1.94B","6.71%"
"12/01/2018","487.88","529.74","530.03","472.19","1.82B","-6.06%"
"11/01/2018","519.37","519.90","534.21","506.90","2.04B","0.13%"
"10/01/2018","518.71","550.08","554.05","500.45","2.24B","-5.62%"
"09/01/2018","549.62","558.50","561.61","533.91","1.92B","-1.58%"
"08/01/2018","558.42","574.68","575.49","549.73","1.77B","-2.76%"
"07/01/2018","574.25","545.46","576.90","544.09","1.71B","4.09%"
"06/01/2018","551.68","556.52","569.16","543.87","2.01B","-0.21%"
"05/01/2018","552.85","555.54","572.90","550.38","2.16B","-0.52%"
"04/01/2018","555.73","525.32","556.51","521.68","1.71B","4.95%"
"03/01/2018","529.52","533.05","539.75","516.58","1.92B","-1.13%"
"02/01/2018","535.58","563.02","563.54","515.96","1.91B","-4.45%"
"01/01/2018","560.52","545.24","572.81","540.34","1.88B","2.93%"
"12/01/2017","544.58","540.95","555.12","535.29","1.64B","0.83%"
"11/01/2017","540.11","555.71","557.43","534.62","2.15B","-2.40%"
"10/01/2017","553.38","538.57","553.92","537.79","1.70B","3.04%"
"09/01/2017","537.06","518.16","537.06","512.82","1.67B","4.07%"
"08/01/2017","516.04","528.75","533.18","505.92","1.74B","-1.79%"
"07/01/2017","525.44","509.54","530.66","506.27","1.79B","3.61%"
"06/01/2017","507.15","524.11","531.61","506.91","2.21B","-3.23%"
"05/01/2017","524.07","522.40","537.84","519.48","2.35B","0.56%"
"04/01/2017","521.13","517.52","526.25","509.40","1.92B","0.89%"
"03/01/2017","516.54","499.14","518.88","498.94","2.24B","4.28%"
"02/01/2017","495.35","480.19","500.94","479.38","1.97B","3.91%"
"01/01/2017","476.71","481.16","489.91","476.71","1.78B","-1.34%"
"12/01/2016","483.17","455.89","484.21","445.65","1.99B","5.68%"
"11/01/2016","457.21","456.32","459.57","436.28","2.50B","1.02%"
"10/01/2016","452.59","452.55","463.03","442.72","1.99B","0.06%"
"09/01/2016","452.33","455.72","466.17","437.62","2.11B","-0.45%"
"08/01/2016","454.38","451.45","457.92","437.85","1.86B","1.01%"
"07/01/2016","449.83","438.36","456.78","419.45","2.12B","3.20%"
"06/01/2016","435.88","447.14","453.30","409.23","2.68B","-2.68%"
"05/01/2016","447.87","441.03","453.07","425.78","2.06B","1.86%"
"04/01/2016","439.68","434.86","458.02","426.75","2.26B","-0.10%"
"03/01/2016","440.11","426.79","449.62","425.83","2.44B","3.01%"
"02/01/2016","427.27","433.85","433.85","378.53","2.84B","-0.93%"
"01/01/2016","431.28","436.97","436.97","392.44","2.52B","-2.39%"
"12/01/2015","441.82","471.22","471.96","419.79","2.15B","-5.90%"
"11/01/2015","469.52","457.84","474.87","448.36","2.13B","1.60%"
"10/01/2015","462.12","426.77","468.64","415.52","2.36B","9.73%"
