"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","56,727.98","57,423.51","58,298.77","55,385.85","","-1.12%"
"03/01/2024","57,369.01","55,396.30","57,599.08","54,714.43","114.25M","3.53%"
"02/01/2024","55,414.00","57,367.28","59,020.55","55,085.80","4.13B","-3.41%"
"01/01/2024","57,372.76","57,456.81","57,829.01","54,346.58","3.97B","-0.02%"
"12/01/2023","57,386.25","53,955.79","58,338.32","53,400.76","3.81B","6.15%"
"11/01/2023","54,060.01","49,051.92","54,165.81","48,976.86","4.20B","10.19%"
"10/01/2023","49,061.88","51,001.79","51,305.93","47,765.06","4.67B","-3.56%"
"09/01/2023","50,874.98","53,233.15","53,661.62","50,783.07","4.93B","-4.05%"
"08/01/2023","53,020.98","54,791.48","54,901.90","52,610.14","7.29B","-3.28%"
"07/01/2023","54,819.05","53,536.94","55,244.82","53,117.59","3.74B","2.42%"
"06/01/2023","53,526.10","52,803.58","55,407.72","52,687.43","4.70B","1.50%"
"05/01/2023","52,736.26","55,059.26","55,626.51","52,575.14","5.59B","-4.33%"
"04/01/2023","55,121.22","54,037.67","55,178.62","53,308.07","2.40B","2.26%"
"03/01/2023","53,904.00","52,720.40","54,604.07","51,814.68","4.32B","2.17%"
"02/01/2023","52,758.06","54,555.91","55,173.58","52,141.14","3.43B","-3.31%"
"01/01/2023","54,564.27","48,506.04","55,309.97","48,478.94","2.79B","12.59%"
"12/01/2022","48,463.86","51,649.60","51,811.17","48,383.20","2.87B","-6.23%"
"11/01/2022","51,684.86","50,004.42","52,457.14","49,431.48","3.96B","3.53%"
"10/01/2022","49,922.30","44,779.20","49,990.94","44,686.64","4.08B","11.87%"
"09/01/2022","44,626.80","44,851.23","47,944.60","44,518.73","3.81B","-0.65%"
"08/01/2022","44,919.22","48,094.47","48,944.49","44,844.18","3.53B","-6.70%"
"07/01/2022","48,144.33","47,543.35","48,584.14","46,164.27","2.76B","1.30%"
"06/01/2022","47,524.45","51,739.87","51,820.68","46,344.94","4.15B","-8.17%"
"05/01/2022","51,752.53","51,426.27","52,745.98","48,669.21","5.50B","0.65%"
"04/01/2022","51,417.97","56,530.56","57,064.16","51,315.04","3.13B","-9.05%"
"03/01/2022","56,536.68","53,403.89","56,730.53","51,884.08","5.17B","5.87%"
"02/01/2022","53,400.61","51,511.27","53,901.91","50,003.09","3.95B","4.03%"
"01/01/2022","51,330.85","53,278.11","54,219.14","49,673.64","3.23B","-3.64%"
"12/01/2021","53,272.44","49,879.76","53,630.53","49,869.01","3.42B","7.19%"
