"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","7,984.93","8,195.65","8,253.05","7,899.36","1.30B","-2.69%"
"03/01/2024","8,205.81","7,950.66","8,253.59","7,900.48","1.17B","3.51%"
"02/01/2024","7,927.43","7,590.15","7,977.68","7,558.23","1.29B","3.54%"
"01/01/2024","7,656.75","7,577.33","7,702.95","7,281.10","1.13B","1.51%"
"12/01/2023","7,543.18","7,336.55","7,653.99","7,313.19","1.02B","3.18%"
"11/01/2023","7,310.77","6,914.32","7,321.47","6,873.55","1.21B","6.17%"
"10/01/2023","6,885.65","7,164.05","7,197.00","6,773.82","1.32B","-3.50%"
"09/01/2023","7,135.06","7,310.68","7,435.36","7,033.83","1.22B","-2.48%"
"08/01/2023","7,316.70","7,478.10","7,499.53","7,092.72","1.12B","-2.42%"
"07/01/2023","7,497.78","7,415.17","7,526.05","7,052.77","1.10B","1.32%"
"06/01/2023","7,400.06","7,139.39","7,419.36","7,090.46","1.38B","4.25%"
"05/01/2023","7,098.70","7,466.82","7,523.56","7,083.60","1.53B","-5.24%"
"04/01/2023","7,491.50","7,341.69","7,581.26","7,300.33","1.28B","2.31%"
"03/01/2023","7,322.39","7,279.34","7,401.15","6,796.21","2.18B","0.75%"
"02/01/2023","7,267.93","7,087.20","7,387.29","7,059.61","1.56B","2.62%"
"01/01/2023","7,082.42","6,521.07","7,117.53","6,518.21","1.53B","9.40%"
"12/01/2022","6,473.76","6,784.60","6,823.10","6,388.23","1.45B","-3.93%"
"11/01/2022","6,738.55","6,329.76","6,743.60","6,191.73","1.66B","7.53%"
"10/01/2022","6,266.77","5,697.47","6,293.15","5,654.44","1.53B","8.75%"
"09/01/2022","5,762.34","6,068.34","6,394.18","5,628.42","1.79B","-5.92%"
"08/01/2022","6,125.10","6,447.18","6,608.83","6,125.10","1.48B","-5.02%"
"07/01/2022","6,448.50","5,875.60","6,472.27","5,786.50","1.59B","8.87%"
"06/01/2022","5,922.86","6,509.19","6,593.15","5,830.87","1.83B","-8.44%"
"05/01/2022","6,468.80","6,469.31","6,582.05","6,086.02","1.95B","-0.99%"
"04/01/2022","6,533.77","6,672.98","6,757.75","6,338.61","1.63B","-1.89%"
"03/01/2022","6,659.87","6,646.16","6,829.40","5,756.38","2.93B","0.02%"
"02/01/2022","6,658.83","7,052.30","7,169.63","6,432.89","2.03B","-4.86%"
"01/01/2022","6,999.20","7,197.40","7,384.86","6,754.24","1.81B","-2.15%"
"12/01/2021","7,153.03","6,774.80","7,201.65","6,730.63","1.61B","6.43%"
"11/01/2021","6,721.16","6,870.28","7,183.08","6,655.86","1.85B","-1.60%"
