"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","8,144.13","7,982.00","8,201.60","7,793.09","857.15M","2.41%"
"03/01/2024","7,952.62","7,630.02","7,975.38","7,598.46","906.58M","4.23%"
"02/01/2024","7,630.02","7,630.57","7,748.73","7,492.98","21.73B","-0.01%"
"01/01/2024","7,630.57","7,733.24","7,764.37","7,404.08","17.95B","-1.33%"
"12/01/2023","7,733.24","7,453.75","7,762.88","7,453.75","14.84B","3.75%"
"11/01/2023","7,453.75","7,321.72","7,533.77","7,304.89","15.17B","1.80%"
"10/01/2023","7,321.72","7,608.08","7,687.91","7,279.86","15.12B","-3.76%"
"09/01/2023","7,608.08","7,439.13","7,746.53","7,369.64","14.47B","2.27%"
"08/01/2023","7,439.13","7,699.41","7,715.24","7,215.76","15.22B","-3.38%"
"07/01/2023","7,699.41","7,531.53","7,722.92","7,229.57","12.96B","2.23%"
"06/01/2023","7,531.53","7,446.14","7,687.61","7,401.18","15.99B","1.15%"
"05/01/2023","7,446.14","7,870.57","7,898.69","7,446.14","17.58B","-5.39%"
"04/01/2023","7,870.57","7,631.74","7,936.11","7,631.74","13.30B","3.13%"
"03/01/2023","7,631.74","7,876.28","7,974.40","7,206.82","22.22B","-3.10%"
"02/01/2023","7,876.28","7,771.70","8,047.06","7,745.43","16.62B","1.35%"
"01/01/2023","7,771.70","7,451.74","7,875.58","7,448.69","17.09B","4.29%"
"12/01/2022","7,451.74","7,573.05","7,599.70","7,302.82","12.47B","-1.60%"
"11/01/2022","7,573.05","7,094.53","7,599.27","7,076.47","16.73B","6.74%"
"10/01/2022","7,094.53","6,893.81","7,132.85","6,707.62","18.29B","2.91%"
"09/01/2022","6,893.81","7,284.15","7,514.04","6,829.29","21.81B","-5.36%"
"08/01/2022","7,284.15","7,446.01","7,578.85","7,263.62","14.59B","-1.88%"
"07/01/2022","7,423.43","7,169.28","7,441.20","7,007.09","16.84B","3.54%"
"06/01/2022","7,169.28","7,607.66","7,646.66","6,998.17","17.75B","-5.76%"
"05/01/2022","7,607.66","7,544.55","7,648.26","7,158.53","19.91B","0.84%"
"04/01/2022","7,544.55","7,515.68","7,669.56","7,339.53","17.23B","0.38%"
"03/01/2022","7,515.68","7,458.25","7,595.42","6,787.98","27.52B","0.77%"
"02/01/2022","7,458.25","7,464.37","7,687.27","7,204.74","19.69B","-0.08%"
"01/01/2022","7,464.37","7,384.54","7,619.01","7,283.38","17.84B","1.08%"
"12/01/2021","7,384.54","7,059.45","7,457.14","7,059.35","14.28B","4.61%"
"11/01/2021","7,059.45","7,237.57","7,402.68","6,989.66","18.02B","-2.46%"
"10/01/2021","7,237.57","7,086.42","7,281.17","6,945.50","15.35B","2.13%"
"09/01/2021","7,086.42","7,119.70","7,195.62","6,828.28","15.66B","-0.47%"
"08/01/2021","7,119.70","7,032.30","7,224.46","6,993.06","12.39B","1.24%"
"07/01/2021","7,032.30","7,037.47","7,170.60","6,813.03","13.54B","-0.07%"
"06/01/2021","7,037.47","7,022.61","7,217.54","6,948.63","14.95B","0.21%"
"05/01/2021","7,022.61","6,969.81","7,164.18","6,823.60","14.31B","0.76%"
"04/01/2021","6,969.81","6,713.63","7,040.26","6,713.63","13.53B","3.82%"
"03/01/2021","6,713.63","6,483.43","6,812.78","6,483.43","19.56B","3.55%"
"02/01/2021","6,483.43","6,407.46","6,799.92","6,407.46","16.90B","1.19%"
"01/01/2021","6,407.46","6,460.52","6,903.61","6,397.24","15.24B","-0.82%"
"12/01/2020","6,460.52","6,266.19","6,676.60","6,263.60","17.48B","3.10%"
"11/01/2020","6,266.19","5,577.27","6,468.73","5,554.73","23.27B","12.35%"
"10/01/2020","5,577.27","5,866.10","6,040.47","5,525.52","16.27B","-4.92%"
"09/01/2020","5,866.10","5,963.57","6,123.69","5,771.49","16.79B","-1.63%"
"08/01/2020","5,963.57","5,897.76","6,297.20","5,857.06","11.92B","1.12%"
"07/01/2020","5,897.76","6,169.74","6,323.55","5,897.76","16.14B","-4.41%"
"06/01/2020","6,169.74","6,076.60","6,511.84","5,952.44","21.94B","1.53%"
"05/01/2020","6,076.60","5,901.21","6,234.04","5,661.14","20.95B","2.97%"
"04/01/2020","5,901.21","5,671.96","6,151.58","5,395.07","23.75B","4.04%"
"03/01/2020","5,671.96","6,580.61","6,856.27","4,898.79","37.39B","-13.81%"
"02/01/2020","6,580.61","7,286.01","7,547.65","6,460.08","16.54B","-9.68%"
"01/01/2020","7,286.01","7,542.44","7,689.67","7,275.03","13.19B","-3.40%"
"12/01/2019","7,542.44","7,346.53","7,665.40","7,131.16","14.57B","2.67%"
"11/01/2019","7,346.53","7,248.38","7,446.00","7,197.33","14.23B","1.35%"
"10/01/2019","7,248.38","7,408.21","7,433.24","7,004.43","18.28B","-2.16%"
"09/01/2019","7,408.21","7,207.18","7,440.77","7,199.40","15.85B","2.79%"
"08/01/2019","7,207.18","7,586.78","7,609.98","7,020.22","16.06B","-5.00%"
"07/01/2019","7,586.78","7,425.63","7,727.49","7,425.63","14.65B","2.17%"
"06/01/2019","7,425.63","7,161.71","7,469.19","7,079.71","14.52B","3.69%"
"05/01/2019","7,161.71","7,418.22","7,446.46","7,130.85","15.76B","-3.46%"
"04/01/2019","7,418.22","7,279.19","7,528.93","7,279.19","13.70B","1.91%"
"03/01/2019","7,279.19","7,074.73","7,370.61","7,074.73","15.65B","2.89%"
"02/01/2019","7,074.73","6,968.85","7,261.63","6,968.85","13.67B","1.52%"
"01/01/2019","6,968.85","6,728.13","7,001.94","6,599.48","15.44B","3.58%"
"12/01/2018","6,728.13","6,980.24","7,145.49","6,536.53","15.33B","-3.61%"
"11/01/2018","6,980.24","7,128.10","7,196.39","6,904.21","18.83B","-2.07%"
"10/01/2018","7,128.10","7,510.20","7,526.20","6,851.59","19.12B","-5.09%"
"09/01/2018","7,510.20","7,432.42","7,552.02","7,220.50","15.32B","1.05%"
"08/01/2018","7,432.42","7,748.76","7,790.17","7,428.67","15.62B","-4.08%"
"07/01/2018","7,748.76","7,636.93","7,782.90","7,540.71","16.07B","1.46%"
"06/01/2018","7,636.93","7,678.20","7,793.45","7,508.32","20.02B","-0.54%"
"05/01/2018","7,678.20","7,509.30","7,903.50","7,492.39","19.19B","2.25%"
"04/01/2018","7,509.30","7,056.61","7,546.16","6,971.75","16.09B","6.42%"
"03/01/2018","7,056.61","7,231.91","7,254.87","6,866.94","17.62B","-2.42%"
"02/01/2018","7,231.91","7,533.55","7,554.73","7,073.03","17.11B","-4.00%"
"01/01/2018","7,533.55","7,687.77","7,792.56","7,521.77","17.01B","-2.01%"
"12/01/2017","7,687.77","7,326.67","7,697.62","7,288.73","14.16B","4.93%"
"11/01/2017","7,326.67","7,493.08","7,582.85","7,326.67","18.75B","-2.22%"
"10/01/2017","7,493.08","7,372.76","7,565.11","7,372.73","17.74B","1.63%"
"09/01/2017","7,372.76","7,430.62","7,460.52","7,196.58","15.93B","-0.78%"
"08/01/2017","7,430.62","7,372.00","7,551.85","7,289.20","14.95B","0.80%"
"07/01/2017","7,372.00","7,312.72","7,515.12","7,303.46","16.51B","0.81%"
"06/01/2017","7,312.72","7,519.95","7,598.99","7,302.71","19.72B","-2.76%"
"05/01/2017","7,519.95","7,203.94","7,586.45","7,203.94","18.87B","4.39%"
"04/01/2017","7,203.94","7,322.92","7,406.35","7,096.83","16.25B","-1.62%"
"03/01/2017","7,322.92","7,263.44","7,447.00","7,255.78","20.64B","0.82%"
"02/01/2017","7,263.44","7,099.15","7,329.56","7,093.57","16.95B","2.31%"
"01/01/2017","7,099.15","7,142.83","7,354.14","7,099.15","17.90B","-0.61%"
