"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","17,763.03","16,811.74","18,031.16","16,044.45","60.56B","7.39%"
"03/01/2024","16,541.42","16,390.89","17,214.67","16,095.68","56.13B","0.18%"
"02/01/2024","16,511.44","15,522.86","16,895.82","15,336.86","44.78B","6.63%"
"01/01/2024","15,485.07","17,135.12","17,135.12","14,794.16","53.71B","-9.16%"
"12/01/2023","17,047.39","17,019.17","17,095.12","15,972.31","40.46B","0.03%"
"11/01/2023","17,042.88","17,139.40","18,174.69","16,863.05","42.52B","-0.41%"
"10/01/2023","17,112.48","17,546.39","18,290.91","16,879.66","40.12B","-3.91%"
"09/01/2023","17,809.66","18,592.53","18,899.49","17,352.83","39.87B","-3.11%"
"08/01/2023","18,382.06","20,211.20","20,331.28","17,573.70","68.00B","-8.45%"
"07/01/2023","20,078.94","19,002.55","20,361.03","18,279.73","49.94B","6.15%"
"06/01/2023","18,916.43","18,190.27","20,155.92","18,190.27","47.04B","3.74%"
"05/01/2023","18,234.27","20,122.90","20,321.74","18,044.86","53.30B","-8.35%"
"04/01/2023","19,894.57","20,379.50","20,864.74","19,520.97","40.64B","-2.48%"
"03/01/2023","20,400.11","19,849.97","21,005.66","18,829.11","62.86B","3.10%"
"02/01/2023","19,785.94","21,920.80","22,311.96","19,783.07","40.31B","-9.41%"
"01/01/2023","21,842.33","19,570.43","22,700.85","19,303.73","46.99B","10.42%"
"12/01/2022","19,781.41","19,058.90","20,099.77","18,530.82","57.62B","6.37%"
"11/01/2022","18,597.23","14,859.92","18,645.35","14,859.92","75.23B","26.62%"
"10/01/2022","14,687.02","17,050.25","18,164.20","14,597.31","45.82B","-14.72%"
"09/01/2022","17,222.83","19,761.72","19,839.51","17,016.28","42.07B","-13.69%"
"08/01/2022","19,954.39","20,026.60","20,283.59","19,189.54","40.16B","-1.00%"
"07/01/2022","20,156.51","21,690.68","22,198.51","20,050.05","37.73B","-7.79%"
"06/01/2022","21,859.79","21,407.79","22,449.31","20,697.17","51.40B","2.08%"
"05/01/2022","21,415.20","20,927.62","21,415.20","19,178.89","42.72B","1.54%"
"04/01/2022","21,089.39","21,693.10","22,523.64","19,665.49","39.46B","-4.13%"
"03/01/2022","21,996.85","22,739.84","22,937.56","18,235.48","71.31B","-3.15%"
"02/01/2022","22,713.02","24,392.86","25,050.59","22,406.12","36.90B","-4.58%"
"01/01/2022","23,802.26","23,510.54","24,982.03","22,709.60","41.54B","1.73%"
"12/01/2021","23,397.67","23,595.57","24,385.44","22,665.25","35.47B","-0.33%"
"11/01/2021","23,475.26","25,268.35","25,746.71","23,175.37","36.87B","-7.49%"
"10/01/2021","25,377.24","24,478.68","26,234.94","23,681.44","33.22B","3.26%"
"09/01/2021","24,575.64","25,871.82","26,560.04","23,771.46","47.17B","-5.04%"
"08/01/2021","25,878.99","26,054.81","26,822.47","24,581.60","42.63B","-0.32%"
"07/01/2021","25,961.03","28,859.02","28,859.02","24,748.84","49.24B","-9.94%"
"06/01/2021","28,827.95","29,159.06","29,490.61","28,216.09","45.38B","-1.11%"
"05/01/2021","29,151.80","28,659.91","29,336.13","27,715.88","44.19B","1.49%"
"04/01/2021","28,724.88","28,594.55","29,405.12","28,274.27","39.15B","1.22%"
"03/01/2021","28,378.35","29,457.89","29,912.00","27,505.08","67.91B","-2.08%"
"02/01/2021","28,980.21","28,457.85","31,183.36","28,382.26","52.62B","2.46%"
"01/01/2021","28,283.71","27,087.13","30,191.16","27,079.24","73.42B","3.87%"
